All About Eve,1950,138
The Asphalt Jungle,1950,112
Born Yesterday,1950,103
Cinderella,1950,76
D. O. A.,1950,83
Father of the Bride,1950,94
The File on Thelma Jordon,1950,100
Gun Crazy,1949,87
The Gunfighter,1950,84
Harvey,1950,104
In a Lonely Place,1950,94
Los Olvidados,1950,85
Orphée,1950,112
Panic in the Streets,1950,96
Rashomon,1950,88
Rio Grande,1950,105
Seven Days to Noon,1950,94
Stage Fright,1950,110
Sunset Boulevard,1950,110
Winchester '73,1950,92
Ace in the Hole,1951,111
The African Queen,1951,105
Alice in Wonderland,1951,75
An American in Paris,1951,102
A Christmas Carol,1951,86
The Day the Earth Stood Still,1951,92
Decision Before Dawn,1951,119
Diary of a Country Priest,1951,115
The Lavender Hill Mob,1951,81
The Man in the White Suit,1951,85
Miracle in Milan,1951,100
Pandora and the Flying Dutchman,1951,122
A Place in the Sun,1951,123
Quo Vadis,1951,171
Strangers on a Train,1951,101
A Streetcar Named Desire,1951,125
From Another World),1951,87
The Bad and the Beautiful,1952,116
The Big Sky,1952,140
Europa '51,1952,113
Fanfan la Tulipe,1952,102
Five Fingers,1952,108
Forbidden Games,1952,102
The Golden Coach,1952,103
The Greatest Show on Earth,1952,153
High Noon,1952,85
Ikiru,1952,143
Pat and Mike,1952,95
The Quiet Man,1952,129
Rancho Notorious,1952,89
Singin' in the Rain,1952,103
Umberto D.,1952,91
Angel Face,1953,91
The Band Wagon,1953,111
Beat the Devil,1953,89
The Bigamist,1953,80
The Big Heat,1953,89
From Here to Eternity,1953,118
Gentlemen Prefer Blondes,1953,91
House of Wax,1953,90
I Confess,1953,95
Julius Caesar,1953,120
The Earrings of Madame De...,1953,105
Mogambo,1953,115
Monsieur Hulot's Holiday,1953,114
The Naked Spur,1953,93
Niagara,1953,89
Pickup on South Street,1953,80
The Robe,1953,135
Roman Holiday,1953,118
Shane,1953,117
Stalag 17,1953,120
Summer With Monika,1953,96
Tokyo Story,1953,136
Ugetsu Monogatari,1953,94
The Wages of Fear,1953,148
The War of the Worlds,1953,85
The Wild One,1953,79
Animal Farm,1954,72
The Barefoot Contessa,1954,128
The Caine Mutiny,1954,125
Carmen Jones,1954,105
Chikamatsu Monogatari,1954,102
Creature from the Black Lagoon,1954,79
Dial M for Murder,1954,105
The Far Country,1954,97
Gojira,1954,96
Human Desire,1954,91
Johnny Guitar,1954,110
Journey to Italy,1954,85
On the Waterfront,1954,108
Rear Window,1954,113
Sabrina,1954,112
Salt of the Earth,1954,94
Sansho the Bailiff,1954,124
Senso,1954,93
Seven Brides for Seven Brothers,1954,103
Seven Samurai,1954,207
Silver Lode,1954,81
A Star is Born,1954,176
La Strada,1954,94
Them!,1954,94
Three Coins in the Fountain,1954,102
All That Heaven Allows,1955,89
Artists and Models,1955,109
Bad Day at Black Rock,1955,81
The Big Knife,1955,111
Blackboard Jungle,1955,100
The Court Jester,1955,101
The Court-Martial of Billy Mitchell,1955,100
Les Diaboliques,1955,114
East of Eden,1955,115
Guys and Dolls,1955,150
I'll Cry Tomorrow,1955,117
